PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL,Harga AMAZON
"Apple iMac 2017 (i5, 8GB RAM, 1TB) - Excellent",Apple iMac,Apple,,,AppleMac2017i581TBHDD-RD-EXD-AU,,,,,,https://reebelo.com.au/collections/apple-imac-2017-21.5-inch?screenSize=21.5+Inch&storage=1TB&color=Silver&cpu=Intel+Core+i5+2.3GHz&ram=8GB&condition=Excellent&deliveryBy=undefined,https://www.backmarket.com.au/en-au/p/inches-ghz-gb-ram/72154430-310a-44a4-b307-62d27f6784b3?l=11&variantClicked=true#scroll=false,,,#N/A
"Apple iMac 2017 21.5"" (i5, 8GB RAM, 256GB) - Excellent",Apple iMac,Apple,,,AplMac2017i58256GB21-RD-EXD-AU,,,,,,https://reebelo.com.au/collections/apple-imac-2017-21.5-inch?screenSize=21.5+Inch&storage=256GB&color=Silver&cpu=Intel+Core+i5+2.3GHz&ram=8GB&condition=Excellent&deliveryBy=undefined,https://www.backmarket.com.au/en-au/p/inches-ghz-gb-ram/5a585f77-a29e-439d-879b-91acedabe316?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0GTLJTQD7,,#N/A
"Apple iMac 2017 27"" (i5, 8GB RAM, 2TB) - Excellent",Apple iMac,Apple,,,iMac2720175ki53482TBFD-RD-EXD-AU,,,,,,,,,,#N/A
"Apple iMac 2017 27"" (i7, 8GB RAM, 2TB) - Excellent",Apple iMac,Apple,,,iMac2720175ki74282TBFD-RD-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0GWLGB6Y4,,#N/A
"Apple iMac 2019 21.5"" (i5, 8GB RAM, 1TB) - Excellent",Apple iMac,Apple,,,iMac21520194Ki5381TBSSD-RD-EXD-AU,,,,,,https://reebelo.com.au/collections/apple-imac-2019-retina-4k-21.5-inch?screenSize=21.5+Inch&storage=1TB&color=Silver&cpu=Intel+Core+i5+3.0GHz&ram=8GB&condition=Excellent&deliveryBy=undefined,https://www.backmarket.com.au/en-au/p/imac-21-5-inches-2019-core-i-53-0-ghz-8-gb-ram-ssd-1-tb-qwerty-english-us/4f28598a-a1f2-4e05-8f4e-29e4a93e301c?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0GTLJTQD7,,#N/A
"Apple iMac 2019 21.5"" (i7, 8GB RAM, 512GB) - Excellent",Apple iMac,Apple,,,iMac21520194Ki7328512GBSSD-RD-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0GQFR68MZ,,#N/A
"Apple iMac 2020 5K (i5, 16GB RAM, 1TB) - Excellent",Apple iMac,Apple,,,AppleMac20205Ki5161TBSSD-RD-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0GRF7DJ12,,#N/A
"Apple iMac 2021 (M1, 16GB RAM, 2TB, Blue) - Excellent",Apple iMac,Apple,,,AplMac2021M1162TBBlue824-RD-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0GX5VTCB6,,#N/A
"Apple iMac 2021 (M1, 8GB RAM, 256GB, 7 Core GPU, Pink Red, 24inc) - Excellent",Apple iMac,Apple,,,iMac20218256GB7CGPU24PnR-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/apple-imac-2021-m1-two-ports-24-inch?storage=256GB&ram=8GB&screenSize=24+Inch&cpu=Apple+M1+chip+7-core+CPU&color=Pink&condition=Excellent&serviceProvider=&replacedFromCondition=,,https://www.amazon.com.au/dp/B0GQF766JQ,,#N/A
"Apple iMac 2021 (M1, 8GB RAM, 256GB, 7 Core GPU, Silver, 24inc) - Excellent",Apple iMac,Apple,,,ApliMac2421M182567CSlv-RD-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0GQF766JQ,,#N/A
"Apple iMac 2021 (M1, 8GB RAM, 256GB, 8 Core GPU, Pink Red, 24inc) - Excellent",Apple iMac,Apple,,,iMac20218256GB8CGPU24PnR-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/apple-imac-2021-m1-two-ports-24-inch?storage=256GB&ram=8GB&screenSize=24+Inch&cpu=Apple+M1+chip+8-core+CPU&color=Pink&condition=Excellent&serviceProvider=&replacedFromCondition=,,https://www.amazon.com.au/dp/B0GQF766JQ,,#N/A
"Apple iMac 2021 (M1, 8GB RAM, 256GB, 8 Core GPU, Silver, 24inc) - Excellent",Apple iMac,Apple,,,ApliMac2421M182568CSlv-RD-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/imac-24-inches-2021-m-13-2-ghz-8-gb-ram-ssd-256-gb/9725ebc1-ca5d-4c1b-a480-456b49a99c85?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0GQF766JQ,,#N/A
"Apple iMac 2021 (M1, 8GB RAM, 256GB, Blue) - Excellent",Apple iMac,Apple,,,AplMac2021M18256GBBlue824-RD-EXD-AU,,,,,,https://reebelo.com.au/collections/apple-imac-2021-m1-two-ports-24-inch?storage=256GB&ram=8GB&screenSize=24+Inch&color=Blue&condition=Excellent&serviceProvider=&replacedFromCondition=,https://www.backmarket.com.au/en-au/p/imac-24-inches-2021-m-13-2-ghz-8-gb-ram-ssd-256-gb-qwerty-english-us/0a8773e2-5155-4ee3-b7f8-47ba678a1747?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0GQF766JQ,,#N/A
